"survey";"year";"country";"quarter";"area";"aphia_id";"species";"length";"plusgr";"age";"sex";"maturity";"weight";"canoatlngt";"dateofcalc";"spawning_scale"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";370;-9;3;"M";"5";NA;3;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";380;-9;2;"M";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";380;-9;3;"M";"2";NA;8;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";380;-9;3;"M";"5";NA;4;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";390;-9;2;"M";"2";NA;2;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";390;-9;2;"M";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";390;-9;3;"M";"2";NA;7;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";390;-9;3;"M";"5";NA;3;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";400;-9;3;"M";"2";NA;8;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";400;-9;3;"M";"3";NA;2;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";400;-9;3;"M";"5";NA;5;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";410;-9;3;"M";"2";NA;6;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";410;-9;4;"M";"2";NA;3;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";410;-9;4;"M";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";420;-9;3;"M";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";420;-9;4;"M";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";420;-9;4;"M";"4";NA;1;20140320;"spent"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";420;-9;4;"M";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";430;-9;3;"M";"2";NA;3;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";430;-9;4;"M";"2";NA;6;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";430;-9;4;"M";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";440;-9;3;"M";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";440;-9;3;"M";"3";NA;1;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";440;-9;4;"M";"2";NA;2;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";450;-9;3;"M";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";450;-9;4;"M";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";460;-9;3;"M";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";460;-9;4;"M";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";460;-9;4;"M";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";470;-9;3;"M";"2";NA;3;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";480;-9;3;"M";"2";NA;2;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";480;-9;4;"M";"2";NA;2;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";490;-9;4;"M";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";500;-9;4;"M";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";500;-9;4;"M";"3";NA;1;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";500;-9;4;"M";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";130;-9;1;"M";"1";NA;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";140;-9;1;"M";"1";25;1;20161213;"immature"
