julian_day;month;year;SBT;SST;tdiff
6;1;1993;5.777745384;1.501548643;-4.276196741
6;1;1994;5.187191448;2.857713435;-2.329478013
6;1;1995;6.008027211;2.872352747;-3.135674464
6;1;1996;5.882011662;0.707101257;-5.174910404
6;1;1997;6.000262391;0.355969557;-5.644292834
6;1;1998;6.105315841;3.492078094;-2.613237747
6;1;1999;5.2303207;2.896465917;-2.333854783
6;1;2000;5.751710398;3.09159497;-2.660115428
6;1;2001;6.533051506;4.412749835;-2.120301672
6;1;2002;6.042682216;1.16581403;-4.876868185
6;1;2003;5.511409135;0.675208471;-4.836200664
6;1;2004;6.157512148;2.670473197;-3.487038951
6;1;2005;5.877453839;3.957806089;-1.91964775
6;1;2006;6.505821186;2.810473197;-3.695347989
6;1;2007;7.065889213;5.981962277;-1.083926936
6;1;2008;5.569426628;3.362084712;-2.207341916
6;1;2009;6.653576288;2.31045996;-4.343116327
6;1;2010;6.798639456;1.498590338;-5.300049118
6;1;2011;5.142915452;-0.22468233;-5.367597781
6;1;2012;6.089076774;4.383669755;-1.705407018
6;1;2013;6.298425656;3.527799471;-2.770626185
6;1;2014;6.60675413;4.749063534;-1.857690596
6;1;2015;6.065092323;4.085152217;-1.979940106
6;1;2016;6.433877551;4.194093316;-2.239784235
6;1;2017;3.900524781;0.217438782;-3.683085999
6;1;2018;6.250971817;4.551221046;-1.699750772
7;1;1979;3.731379981;0.043888154;-3.687491827
7;1;1980;5.029650146;2.089090007;-2.940560139
7;1;1981;4.825578231;2.484090007;-2.341488225
7;1;1982;5.008396501;1.159321641;-3.84907486
7;1;1983;5.392672498;3.860916612;-1.531755886
7;1;1984;4.997589893;3.210704831;-1.786885062
7;1;1985;5.549514091;1.114973527;-4.434540564
7;1;1986;6.678960155;2.246634679;-4.432325476
7;1;1987;6.030971817;2.224053607;-3.80691821
7;1;1988;5.501389699;4.84262409;-0.658765609
7;1;1989;5.291817298;3.612706817;-1.679110482
7;1;1990;6.464275996;3.434427531;-3.029848465
7;1;1991;5.49303207;3.549695566;-1.943336504
7;1;1992;5.23563654;3.919202515;-1.316434025
7;1;1993;5.606122449;1.414880874;-4.191241575
7;1;1994;5.213449951;2.933136995;-2.280312956
7;1;1995;5.994723032;2.6375182;-3.357204832
7;1;1996;5.80483965;0.94106552;-4.863774131
7;1;1997;5.984577259;0.252627399;-5.73194986
7;1;1998;6.103809524;3.469986764;-2.63382276
7;1;1999;5.278279883;3.008520847;-2.269759036
7;1;2000;5.676433431;3.111082065;-2.565351366
7;1;2001;6.532866861;4.365900066;-2.166966795
7;1;2002;6.012623907;1.201588352;-4.811035555
7;1;2003;5.490077745;0.372806089;-5.117271657
7;1;2004;6.063673469;2.692303111;-3.371370359
7;1;2005;5.792011662;4.095734613;-1.696277049
7;1;2006;6.454489796;2.788775645;-3.665714151
7;1;2007;7.051127308;5.946406353;-1.104720955
7;1;2008;5.547677357;3.36021178;-2.187465576
7;1;2009;6.459426628;2.246760424;-4.212666204
7;1;2010;6.741720117;1.354056916;-5.387663201
7;1;2011;5.067084548;-0.185493051;-5.252577599
7;1;2012;6.090310982;4.329705493;-1.760605488
7;1;2013;6.2205345;3.534692257;-2.685842243
7;1;2014;6.586151603;4.857078094;-1.72907351
7;1;2015;6.002633625;4.003140304;-1.99949332
7;1;2016;6.361535471;4.01418597;-2.347349502
7;1;2017;3.731379981;0.043888154;-3.687491827
7;1;2018;6.233401361;4.279877565;-1.953523796
8;1;1979;3.328075802;0.247157512;-3.08091829
8;1;1980;5.005170068;1.965039709;-3.040130359
8;1;1981;4.804684159;2.171588352;-2.633095807
8;1;1982;4.973819242;0.838266049;-4.135553193
8;1;1983;5.356987366;3.711899404;-1.645087962
8;1;1984;4.913965015;3.182686962;-1.731278052
8;1;1985;5.457735666;0.926019193;-4.531716473
8;1;1986;6.681992225;2.033315685;-4.64867654
8;1;1987;6.003479106;2.044546658;-3.958932448
8;1;1988;5.515928086;4.738269358;-0.777658727
8;1;1989;5.287609329;3.664017207;-1.623592122
8;1;1990;6.334655005;3.403180013;-2.931474992
8;1;1991;5.44111759;3.521234282;-1.919883308
8;1;1992;5.147026239;3.941849768;-1.205176471
8;1;1993;5.593469388;1.529099934;-4.064369454
8;1;1994;5.239757046;2.956863005;-2.282894041
8;1;1995;5.981175899;2.528831899;-3.452344
8;1;1996;5.764489796;1.088388484;-4.676101311
8;1;1997;5.942312925;0.188103905;-5.75420902
8;1;1998;6.088279883;3.544890801;-2.543389083
8;1;1999;5.303566569;2.962935142;-2.340631427
8;1;2000;5.638843537;3.194589676;-2.444253862
8;1;2001;6.52234208;4.286247518;-2.236094561
8;1;2002;6.057026239;1.204950364;-4.852075875
8;1;2003;5.457201166;0.182776307;-5.274424859
8;1;2004;6.053158406;2.68230642;-3.370851987
8;1;2005;5.688328474;4.338775645;-1.349552829
8;1;2006;6.406938776;2.649745202;-3.757193574
8;1;2007;7.02755102;5.99216413;-1.035386891
8;1;2008;5.543197279;3.448355394;-2.094841885
8;1;2009;6.413663751;2.000807412;-4.412856339
8;1;2010;6.66494655;1.192988087;-5.471958463
8;1;2011;5.0295724;-0.056833223;-5.086405623
8;1;2012;6.075510204;4.336998676;-1.738511528
8;1;2013;6.118221574;3.593544011;-2.524677564
8;1;2014;6.573731778;4.934907346;-1.638824432
8;1;2015;5.962633625;4.104003971;-1.858629654
8;1;2016;6.244266278;4.00567505;-2.238591228
8;1;2017;3.328075802;0.247157512;-3.08091829
8;1;2018;6.188172983;3.875125745;-2.313047239
9;1;1979;3.220942663;0.294053607;-2.926889056
9;1;1980;4.989193392;1.828606883;-3.160586509
9;1;1981;4.687638484;2.33677366;-2.350864824
9;1;1982;4.888785228;0.566515553;-4.322269676
9;1;1983;5.31244898;3.675205162;-1.637243817
9;1;1984;4.83617104;3.068639974;-1.767531066
9;1;1985;5.427599611;0.591988749;-4.835610862
9;1;1986;6.699815355;1.687673726;-5.012141629
9;1;1987;5.841856171;1.774824619;-4.067031552
9;1;1988;5.548979592;4.579722038;-0.969257553
9;1;1989;5.258969874;3.786992058;-1.471977815
9;1;1990;6.221185617;3.308500993;-2.912684624
9;1;1991;5.375928086;3.579831238;-1.796096848
9;1;1992;5.095170068;4.025635341;-1.069534727
9;1;1993;5.44494655;1.613712773;-3.831233777
9;1;1994;5.220155491;2.832961615;-2.387193876
9;1;1995;5.877891156;2.474080079;-3.403811077
9;1;1996;5.745063168;1.189771674;-4.555291494
9;1;1997;5.927414966;0.109612839;-5.817802127
9;1;1998;6.035364431;3.539900728;-2.495463703
9;1;1999;5.25808552;2.799242224;-2.458843296
9;1;2000;5.574237123;3.128001324;-2.4462358
9;1;2001;6.497755102;4.152303111;-2.345451992
9;1;2002;5.954995141;1.209745202;-4.745249939
9;1;2003;5.417648202;-0.009027134;-5.426675336
9;1;2004;6.034936832;2.660579087;-3.374357745
9;1;2005;5.587988338;4.304834547;-1.283153792
9;1;2006;6.352069971;2.416707478;-3.935362492
9;1;2007;6.990495627;6.070373925;-0.920121702
9;1;2008;5.541146744;3.445350761;-2.095795983
9;1;2009;6.244052478;2.120297816;-4.123754662
9;1;2010;6.512993197;1.265254798;-5.247738399
9;1;2011;4.889727891;0.185158835;-4.704569056
9;1;2012;6.045937804;4.292352747;-1.753585057
9;1;2013;6.069504373;3.669877565;-2.399626809
9;1;2014;6.574480078;4.995953011;-1.578527066
9;1;2015;5.922565598;4.178765718;-1.74379988
9;1;2016;6.284713314;3.889281932;-2.395431381
9;1;2017;3.220942663;0.294053607;-2.926889056
9;1;2018;6.102536443;3.913031105;-2.189505338
10;1;1979;3.265947522;0.224629385;-3.041318137
10;1;1980;4.969514091;1.713143614;-3.256370478
10;1;1981;4.663945578;2.390486433;-2.273459145
10;1;1982;4.670437318;0.426373263;-4.244064055
10;1;1983;5.25324587;3.689205824;-1.564040046
10;1;1984;4.688746356;2.886194573;-1.802551783
10;1;1985;5.325490768;0.392015222;-4.933475546
10;1;1986;6.692682216;1.40493051;-5.287751706
10;1;1987;5.703002915;1.330913302;-4.372089613
10;1;1988;5.546841594;4.532349437;-1.014492156
10;1;1989;5.239854227;3.890936466;-1.348917761
10;1;1990;6.126608358;3.278841827;-2.847766531
10;1;1991;5.320437318;3.704526803;-1.615910514
10;1;1992;5.0595724;3.781508934;-1.278063466
10;1;1993;5.325966958;1.875125745;-3.450841214
10;1;1994;5.264752187;2.795579087;-2.4691731
10;1;1995;5.730680272;2.503951026;-3.226729246
10;1;1996;5.685568513;1.297461946;-4.388106567
10;1;1997;5.913906706;0.074500331;-5.839406375
10;1;1998;6.012031098;3.689738584;-2.322292514
10;1;1999;5.251321672;2.549209133;-2.702112539
10;1;2000;5.54888241;2.969473858;-2.579408552
10;1;2001;6.473381924;3.96506949;-2.508312434
10;1;2002;5.898999028;1.137031767;-4.761967261
10;1;2003;5.421321672;-0.131568498;-5.552890169
10;1;2004;5.978785228;2.611393117;-3.367392111
10;1;2005;5.515238095;4.433385175;-1.08185292
10;1;2006;6.288522838;2.211776969;-4.076745869
10;1;2007;6.97819242;6.268815354;-0.709377066
10;1;2008;5.515461613;3.424420913;-2.0910407
10;1;2009;6.115034014;2.088954335;-4.026079679
10;1;2010;6.404392614;1.598057578;-4.806335036
10;1;2011;4.792099125;0.183821972;-4.608277153
10;1;2012;6.027900875;4.294225678;-1.733675196
10;1;2013;6.051525753;3.580592323;-2.47093343
10;1;2014;6.591574344;4.990188617;-1.601385727
10;1;2015;5.92191448;4.306690933;-1.615223547
10;1;2016;6.235510204;3.833898081;-2.401612123
10;1;2017;3.265947522;0.224629385;-3.041318137
10;1;2018;6.069902818;4.025380543;-2.044522276
11;1;1979;3.385315841;0.160172071;-3.225143769
11;1;1980;4.940145773;1.602931833;-3.337213939
11;1;1981;4.717784257;2.13680675;-2.580977506
11;1;1982;4.413896987;0.343630046;-4.070266941
11;1;1983;5.189883382;3.786068829;-1.403814553
11;1;1984;4.591477162;2.932604236;-1.658872927
11;1;1985;5.263566569;0.294437459;-4.969129111
11;1;1986;6.562264334;1.644536731;-4.917727604
11;1;1987;5.472964043;0.95159497;-4.521369073
11;1;1988;5.575782313;4.504685639;-1.071096674
11;1;1989;5.239436346;3.78241231;-1.457024036
11;1;1990;6.083080661;3.453577101;-2.62950356
11;1;1991;5.284616132;3.712789543;-1.571826589
11;1;1992;5.017453839;3.574702184;-1.442751655
11;1;1993;5.24909621;2.25184315;-2.99725306
11;1;1994;5.27526725;2.820555923;-2.454711327
11;1;1995;5.56840622;2.335622105;-3.232784115
11;1;1996;5.658872692;1.311369954;-4.347502738
11;1;1997;5.862866861;0.039311714;-5.823555147
11;1;1998;5.923692906;3.636614825;-2.287078081
11;1;1999;5.259407191;2.393285903;-2.866121288
11;1;2000;5.521020408;2.927630708;-2.5933897
11;1;2001;6.451078717;3.636085374;-2.814993343
11;1;2002;5.824917396;0.999672402;-4.825244993
11;1;2003;5.41148688;-0.173385175;-5.584872056
11;1;2004;5.956987366;2.691267373;-3.265719994
11;1;2005;5.489426628;4.587653872;-0.901772756
11;1;2006;6.124110787;2.211101919;-3.913008868
11;1;2007;6.98068999;6.22060225;-0.76008774
11;1;2008;5.446783285;3.494202515;-1.95258077
11;1;2009;6.128726919;1.925277962;-4.203448958
11;1;2010;6.348036929;1.778239576;-4.569797353
11;1;2011;4.80047619;0.100231635;-4.700244556
